0.000 2.010  3.600  5.830  0.000 1.790 3.090 4.640 0.000 1.550
3.670 5.860  0.000  1.470  2.890 4.150 0.000 1.810 3.800 6.350
0.000 1.610  3.150  4.830  0.000 1.690 3.860 6.510 0.000 1.400
2.950 4.330  0.000  1.790  3.670 6.070 0.000 1.670 3.130 4.750
0.000 1.890  3.970  6.450  0.000 1.080 2.810 4.210 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 0.000 0.000 0.000
1.000 0.000  0.000  0.000  0.000 0.000 1.000 0.000 0.000 1.000
0.000 0.000  1.000  0.000  0.000 0.000 1.000 0.000 1.000 0.000
0.000 0.000  0.000  1.000  0.000 1.000 0.000 0.000 0.000 0.000
0.000 1.000  0.000  1.000  0.000 0.000 0.000 1.000 0.000 0.000
1.000 0.000  0.000  1.000  0.000 0.000 0.000 1.000 0.000 0.000
1.000 0.000  0.000  0.000  0.000 0.000 1.000 1.000 0.000 0.000
0.000 0.000  1.000  0.000  1.000 0.000 0.000 0.000 1.000 0.000
0.000 1.000  1.000  0.000  1.000 0.000 0.000 1.000 0.000 0.000
0.000 1.000  0.000  0.000  0.000 0.000 1.000 0.000 0.000 0.000
0.000 0.000  1.000  0.000  0.000 0.000 0.000 0.000 0.000 1.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 1.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 1.000 0.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 1.000 0.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 1.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 0.000 0.000 1.000
3.540 3.950  3.770  0.570 -0.370 0.840 0.000 0.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000  2.850  1.000  3.860 0.770 1.220 3.600 0.120 0.120
0.040 1.100 -0.160 -0.120 -0.160 0.150 1.090 0.030 0.010 0.030
1.150 0.300  1.340 
