0.000 1.890  3.690  6.080  0.000 1.700 3.120 4.740 0.000 1.710
3.830 6.260  0.000  1.330  2.890 4.230 0.000 1.890 3.690 6.080
0.000 1.700  3.120  4.740  0.000 1.710 3.830 6.260 0.000 1.330
2.890 4.230  0.000  1.890  3.690 6.080 0.000 1.700 3.120 4.740
0.000 1.710  3.830  6.260  0.000 1.330 2.890 4.230 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 0.000 0.000 0.000
1.000 0.000  0.000  0.000  0.000 0.000 1.000 0.000 0.000 1.000
0.000 0.000  1.000  0.000  0.000 0.000 1.000 0.000 1.000 0.000
0.000 0.000  0.000  1.000  0.000 1.000 0.000 0.000 0.000 0.000
0.000 1.000  0.000  1.000  0.000 0.000 0.000 1.000 0.000 0.000
1.000 0.000  0.000  1.000  0.000 0.000 0.000 1.000 0.000 0.000
1.000 0.000  0.000  0.000  0.000 0.000 1.000 1.000 0.000 0.000
0.000 0.000  1.000  0.000  1.000 0.000 0.000 0.000 1.000 0.000
0.000 1.000  1.000  0.000  1.000 0.000 0.000 1.000 0.000 0.000
0.000 1.000  0.000  0.000  0.000 0.000 1.000 0.000 0.000 0.000
0.000 0.000  1.000  0.000  0.000 0.000 0.000 0.000 0.000 1.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 1.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 1.000 0.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 1.000 0.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 1.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 0.000 0.000 1.000
3.630 3.870  3.750  0.560 -0.370 0.840 0.000 0.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000  0.000  0.000  0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000  3.110  1.000  3.650 0.800 1.170 3.520 0.100 0.130
0.030 1.100 -0.170 -0.110 -0.150 0.150 1.090 0.020 0.050 0.020
1.150 0.290  1.330 
